Bipin Kumar Singh,073b6b0997ee4955a8f8ab8a04343970,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Excellent,"Nice phone and the camera quality is so good
 
 

   READ MORE
  
",9,3,19-Apr-17
Rakesh  Challa,08710bf98e0b47f3bebb11a8ab31c824,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,1,Terrible product,"Oppo was giving only specifically  camera not giving a good phone oppo doing fools 30000
  
  In this amt better phone was coming like oneplus 3t
 
 

   READ MORE
  
",36,25,02-May-17
Avinash Pakanati,c92edfd5691f48088c2512a683dc3d1f,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Simply awesome,"Good
 
 

   READ MORE
  
",10,3,09-Apr-17
Abdul Samath,161e8e7a9d804515be2933b0f4ccf829,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Very Good,"Oppo f3 plus
  

  Advantages:
  
  Screen display quality is awesome. Rich feeling.
  

  You can change display font by using third party app (ifont). But in f3 you don't have that option.
  

  Battery backup is good. Awesome fast charging.
  

  FAST finger print sensor. Working very nice.
  
  Camera picture quality is good.
  

  Color os operating system is really designed well. It gives rich feeling while using the phone.
  

  Third party launchers are working fine with this phone. (N launcher, nova launcher, etc).
  

  Notification settings are nice.
  

  Inbuilt app security lock is nice (finger print app lock and passcode lock)
  

  Battery backup in standby mode is awesome.
  

  Music player sound effect is good (maybe depends on headphone quality).
  

  Phone looks very good when handling and very slim.
  

  Disadvantages:
  

  Phone relased before more than six months but still running in marshmallow.
  

  Color os 3.2 released in oppo f5 but it still running in 3.0
  

  Phone is getting heat While using camera for more than 5 minutes.
  

  No NFC Connectivity in this highly priced  phone.
  

  Audio output is low in outdoors and indoors. Only hearable at night (while others sleeping)
  

  Gorilla glass 5 but I got a small scratch on my display even i maintained well. Don't know what is the use of Gorilla 5 glass.
  

  And its 2.5d curved display is irritating when the tempered glass is not fit in to the display. But without tempered glass phone looks awesome but i don't want to take risk.
  

  Conclusion:
  
  You can buy this phone if the manufacturer gives proper software updates regularly at least up to Oreo ( because of high price). Otherwise its a very very Awesome phone in the market..
 
 

   READ MORE
  
",3,0,08-Nov-17
Vaibhav Virkud,b61f97561d394c23a3256fee649eb013,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Must buy!,"Good phone and got the delivery in time. Good job flipcart.
 
 

   READ MORE
  
",3,0,03-Oct-17
Flipkart Customer,d0b33779fe164c5baa7f705819f5595e,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,4,Delivery,"Goood super... Good phone... Good
 
 

   READ MORE
  
",3,0,09-May-17
akshay kumar,e05cf2d41f6c45d5a1a1e1d577534059,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Worth every penny,"very good purchace..got if for rs 14500 only..after exchange..i bought a local mobile for rs 1000 on olx and exchanged it on flipcart for rs 8800( 8000 was its base exchange)...and for this range it is a superb deal..awesome camera performance and good battery..
 
 

   READ MORE
  
",5,1,25-Oct-17
Kalam Mohammad,f1b7c5f6fc6540ce817ffde09b2a20b9,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Nice device,"1.display (10/10)
  
  2.camera front(9/10)
  
  3.camera rear(8/10)
  
  4.battery (10/10) without  gaming
  
  5.fast charging (10/10)
  

  Problem is there no 7.0 nougat
 
 

   READ MORE
  
",5,1,24-Oct-17
Anand  Dhokai,04c0b6cb7f5d4e42bac04cadaa41fd46,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Super!,"Great product at awesome exchange offer..I would help people complaining about headphones..Its a bit difficult to find.. Initially i was not able to find..U will find earphones in  a small box which is inside the circle of charging cord..Check thoroughly u ll find it..
 
 

   READ MORE
  
",5,1,17-Oct-17
Flipkart Customer,6b3e9f6e1c2a416aa4da23f9ccaa8826,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,4,Good,"Ok
 
 

   READ MORE
  
",5,1,07-Apr-17
VIPIN  MISHRA,636d382565d845f7afd949fcfd1387ce,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Classy product,"I am Vipin Misha today I got the my oppo f3plus and I have order this in bbd offer and have great deal by flipkart and i have also received headfone in the box and OPPO f3plus is superb phone  in exchange against lenovo K3note and also sbi card 1500/- off gross total payment through card approx 16500/- so I am very happy with this deal
 
 

   READ MORE
  
",8,3,01-Oct-17
Flipkart Customer,207bc72b39454088bfed6c23e14b47f9,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,1,Very poor,"I received a used product that have the same heating issue and have some dents also.
 
 

   READ MORE
  
",17,11,07-Jun-17
GAURAV Bhaiya,9635d34af86648cb9f068c3dce7688e9,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,4,Delightful,"Very good handset compare to c9 pro a must buy but at this price op 3t nailed every smart phone at 30 k
 
 

   READ MORE
  
",10,5,15-Apr-17
Flipkart Customer,3eed7a8f3e77421cb88352518317539a,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,1,Useless product,"I m not happy after purchasing f3 plus
  
  Security is not proper
  
  Thats why i m not happy
  
  Poor Performance not any types of security
  
  Not call recorder
  
  Not screen recording
  
  Not perfect camera
  
  Totally loss a money in this f3 plus mobile
 
 

   READ MORE
  
",12,7,20-Oct-17
